Institution,Country,City,t,c
Peking University,China,Beijing,"[""Education""]",99
University of Florida,United States,Gainesville,"[""Education""]",97
University of Padua,Italy,Padova,"[""Education""]",97
Boston University,United States,Boston,"[""Education""]",97
National Institutes for Food and Drug Control,China,Beijing,"[""Government""]",96
University of Amsterdam,Netherlands,Amsterdam,"[""Education""]",96
Erasmus MC,Netherlands,Rotterdam,"[""Healthcare""]",93
University of Bern,Switzerland,Bern,"[""Education""]",93
University of Nottingham,United Kingdom,Nottingham,"[""Education""]",93
Zhejiang University,China,Hangzhou,"[""Education""]",93
Fred Hutch Cancer Center,United States,Seattle,"[""Nonprofit""]",93
Shahid Beheshti University of Medical Sciences,Iran,Tehran,"[""Education""]",92
Murdoch Children's Research Institute,Australia,Melbourne,"[""Nonprofit""]",92
University of Calgary,Canada,Calgary,"[""Education""]",91
Hebrew University of Jerusalem,Israel,Jerusalem,"[""Education""]",91
The Ohio State University,United States,Columbus,"[""Education""]",90
Fondazione IRCCS Ca' Granda Ospedale Maggiore Policlinico,Italy,Milan,"[""Healthcare""]",90
Mahidol University,Thailand,Bangkok,"[""Education""]",89
