score,preferred,last_name,first_name,researcher_id
31672,Safety and Efficacy of the BNT162b2 mRNA Covid-19 Vaccine,Swanson,Kena A,ur.0720727651.67
31672,Safety and Efficacy of the BNT162b2 mRNA Covid-19 Vaccine,Moreira,Edson D,ur.016320742232.37
31672,Safety and Efficacy of the BNT162b2 mRNA Covid-19 Vaccine,Schaefer,Axel,
31672,Safety and Efficacy of the BNT162b2 mRNA Covid-19 Vaccine,Zerbini,Cristiano,ur.0616437273.35
31672,Safety and Efficacy of the BNT162b2 mRNA Covid-19 Vaccine,Jansen,Kathrin U,
31672,Safety and Efficacy of the BNT162b2 mRNA Covid-19 Vaccine,Gruber,William C,
31672,Safety and Efficacy of the BNT162b2 mRNA Covid-19 Vaccine,Kitchin,Nicholas,ur.01343436707.36
31672,Safety and Efficacy of the BNT162b2 mRNA Covid-19 Vaccine,Pérez Marc,Gonzalo,ur.014352732673.49
31672,Safety and Efficacy of the BNT162b2 mRNA Covid-19 Vaccine,Polack,Fernando P,
31672,Safety and Efficacy of the BNT162b2 mRNA Covid-19 Vaccine,Thomas,Stephen J,ur.01250631625.48
31672,Safety and Efficacy of the BNT162b2 mRNA Covid-19 Vaccine,Roychoudhury,Satrajit,ur.01075070035.40
31672,Safety and Efficacy of the BNT162b2 mRNA Covid-19 Vaccine,Bailey,Ruth,
31672,Safety and Efficacy of the BNT162b2 mRNA Covid-19 Vaccine,Tresnan,Dina B,ur.011115233157.53
31672,Safety and Efficacy of the BNT162b2 mRNA Covid-19 Vaccine,Mather,Susan,
31574,Comparing SARS-CoV-2 natural immunity to vaccine-induced immunity: reinfections versus breakthrough infections,Peretz,Asaf,ur.012567230737.98
31574,Comparing SARS-CoV-2 natural immunity to vaccine-induced immunity: reinfections versus breakthrough infections,Perez,Galit,ur.011771650337.75
31574,Comparing SARS-CoV-2 natural immunity to vaccine-induced immunity: reinfections versus breakthrough infections,Gazit,Sivan,ur.07713722763.04
31574,Comparing SARS-CoV-2 natural immunity to vaccine-induced immunity: reinfections versus breakthrough infections,Ben-Tov,Amir,ur.01142707457.76
31574,Comparing SARS-CoV-2 natural immunity to vaccine-induced immunity: reinfections versus breakthrough infections,Cohen,Dani,ur.014616340532.12
31574,Comparing SARS-CoV-2 natural immunity to vaccine-induced immunity: reinfections versus breakthrough infections,Muhsen,Khitam,ur.016624613147.07
31574,Comparing SARS-CoV-2 natural immunity to vaccine-induced immunity: reinfections versus breakthrough infections,Shlezinger,Roei,
31574,Comparing SARS-CoV-2 natural immunity to vaccine-induced immunity: reinfections versus breakthrough infections,Lotan,Roni,ur.011237776664.19
31574,Comparing SARS-CoV-2 natural immunity to vaccine-induced immunity: reinfections versus breakthrough infections,Chodick,Gabriel,ur.01046761047.26
31574,Comparing SARS-CoV-2 natural immunity to vaccine-induced immunity: reinfections versus breakthrough infections,Patalon,Tal,ur.015363271451.24
30864,"Ivermectin for Prevention and Treatment of COVID-19 Infection: A Systematic Review, Meta-analysis, and Trial Sequential Analysis to Inform Clinical Guidelines",Dowswell,Therese,ur.01041473720.52
30864,"Ivermectin for Prevention and Treatment of COVID-19 Infection: A Systematic Review, Meta-analysis, and Trial Sequential Analysis to Inform Clinical Guidelines",Tham,Tony C.,ur.016422726541.27
30864,"Ivermectin for Prevention and Treatment of COVID-19 Infection: A Systematic Review, Meta-analysis, and Trial Sequential Analysis to Inform Clinical Guidelines",Bryant,Andrew,ur.0670762332.64
30864,"Ivermectin for Prevention and Treatment of COVID-19 Infection: A Systematic Review, Meta-analysis, and Trial Sequential Analysis to Inform Clinical Guidelines",Fordham,Edmund J.,ur.011140031773.84
30864,"Ivermectin for Prevention and Treatment of COVID-19 Infection: A Systematic Review, Meta-analysis, and Trial Sequential Analysis to Inform Clinical Guidelines",Mitchell,Scott,ur.014336521675.06
30864,"Ivermectin for Prevention and Treatment of COVID-19 Infection: A Systematic Review, Meta-analysis, and Trial Sequential Analysis to Inform Clinical Guidelines",Hill,Sarah R.,ur.012532772773.22
30864,"Ivermectin for Prevention and Treatment of COVID-19 Infection: A Systematic Review, Meta-analysis, and Trial Sequential Analysis to Inform Clinical Guidelines",Lawrie,Theresa A.,ur.0604517746.21
28698,Intracellular Reverse Transcription of Pfizer BioNTech COVID-19 mRNA Vaccine BNT162b2 In Vitro in Human Liver Cell Line,Rasmussen,Magnus,ur.01016143627.49
28698,Intracellular Reverse Transcription of Pfizer BioNTech COVID-19 mRNA Vaccine BNT162b2 In Vitro in Human Liver Cell Line,Yang,Daowei,ur.014111275010.54
28698,Intracellular Reverse Transcription of Pfizer BioNTech COVID-19 mRNA Vaccine BNT162b2 In Vitro in Human Liver Cell Line,Falla,Francisko Olofsson,
28698,Intracellular Reverse Transcription of Pfizer BioNTech COVID-19 mRNA Vaccine BNT162b2 In Vitro in Human Liver Cell Line,De Marinis,Yang,ur.01273103257.24
28698,Intracellular Reverse Transcription of Pfizer BioNTech COVID-19 mRNA Vaccine BNT162b2 In Vitro in Human Liver Cell Line,Barghouth,Mohammad,ur.015150553773.14
28698,Intracellular Reverse Transcription of Pfizer BioNTech COVID-19 mRNA Vaccine BNT162b2 In Vitro in Human Liver Cell Line,Luan,Cheng,ur.01270246417.54
28698,Intracellular Reverse Transcription of Pfizer BioNTech COVID-19 mRNA Vaccine BNT162b2 In Vitro in Human Liver Cell Line,Aldén,Markus,ur.011611560364.98
26100,Physical interventions to interrupt or reduce the spread of respiratory viruses,Clark,Justin,ur.0734347735.52
26100,Physical interventions to interrupt or reduce the spread of respiratory viruses,Hoffmann,Tammy C,ur.0674537760.65
26100,Physical interventions to interrupt or reduce the spread of respiratory viruses,Ferroni,Eliana,ur.01325542557.35
26100,Physical interventions to interrupt or reduce the spread of respiratory viruses,van Driel,Mieke L,ur.01123705141.19
26100,Physical interventions to interrupt or reduce the spread of respiratory viruses,Jones,Mark A,ur.0712645702.33
26100,Physical interventions to interrupt or reduce the spread of respiratory viruses,Bawazeer,Ghada A,ur.01053224250.68
26100,Physical interventions to interrupt or reduce the spread of respiratory viruses,Conly,John M,ur.0612603027.67
26100,Physical interventions to interrupt or reduce the spread of respiratory viruses,Dooley,Liz,ur.01114051654.03
26100,Physical interventions to interrupt or reduce the spread of respiratory viruses,Beller,Elaine M,ur.01061550363.13
26100,Physical interventions to interrupt or reduce the spread of respiratory viruses,Glasziou,Paul P,ur.010361417657.66
26100,Physical interventions to interrupt or reduce the spread of respiratory viruses,Al-Ansary,Lubna A,ur.01257427357.51
26100,Physical interventions to interrupt or reduce the spread of respiratory viruses,Jefferson,Tom,ur.0745413111.75
26027,COVID UPDATE: What is the truth?,Blaylock,Russell L,ur.0627573165.01
26012,Abstract 10712: Observational Findings of PULS Cardiac Test Findings for Inflammatory Markers in Patients Receiving mRNA Vaccines,Gundry,Steven R,ur.015025514477.37
25840,Safety and efficacy of an rAd26 and rAd5 vector-based heterologous prime-boost COVID-19 vaccine: an interim analysis of a randomised controlled phase 3 trial in Russia,Popova,Olga,ur.013305514767.59
25840,Safety and efficacy of an rAd26 and rAd5 vector-based heterologous prime-boost COVID-19 vaccine: an interim analysis of a randomised controlled phase 3 trial in Russia,Ozharovskaya,Tatiana A,ur.014700455767.04
25840,Safety and efficacy of an rAd26 and rAd5 vector-based heterologous prime-boost COVID-19 vaccine: an interim analysis of a randomised controlled phase 3 trial in Russia,Logunov,Denis Y,ur.013400453014.35
25840,Safety and efficacy of an rAd26 and rAd5 vector-based heterologous prime-boost COVID-19 vaccine: an interim analysis of a randomised controlled phase 3 trial in Russia,Shcherbinin,Dmitry N,ur.0676211633.27
25840,Safety and efficacy of an rAd26 and rAd5 vector-based heterologous prime-boost COVID-19 vaccine: an interim analysis of a randomised controlled phase 3 trial in Russia,Naroditsky,Boris S,ur.0765430416.14
25840,Safety and efficacy of an rAd26 and rAd5 vector-based heterologous prime-boost COVID-19 vaccine: an interim analysis of a randomised controlled phase 3 trial in Russia,Erokhova,Alina S,ur.013400504014.55
25840,Safety and efficacy of an rAd26 and rAd5 vector-based heterologous prime-boost COVID-19 vaccine: an interim analysis of a randomised controlled phase 3 trial in Russia,Grousova,Daria M,ur.011127543255.28
25840,Safety and efficacy of an rAd26 and rAd5 vector-based heterologous prime-boost COVID-19 vaccine: an interim analysis of a randomised controlled phase 3 trial in Russia,Favorskaya,Irina A,ur.01262710301.02
25840,Safety and efficacy of an rAd26 and rAd5 vector-based heterologous prime-boost COVID-19 vaccine: an interim analysis of a randomised controlled phase 3 trial in Russia,Smolyarchuk,Elena A,ur.011220662101.12
25840,Safety and efficacy of an rAd26 and rAd5 vector-based heterologous prime-boost COVID-19 vaccine: an interim analysis of a randomised controlled phase 3 trial in Russia,Simakova,Yana V,ur.014725130503.04
25840,Safety and efficacy of an rAd26 and rAd5 vector-based heterologous prime-boost COVID-19 vaccine: an interim analysis of a randomised controlled phase 3 trial in Russia,Group,Gam-COVID-Vac Vaccine Trial,
25840,Safety and efficacy of an rAd26 and rAd5 vector-based heterologous prime-boost COVID-19 vaccine: an interim analysis of a randomised controlled phase 3 trial in Russia,Zyryanov,Sergey K,ur.016664012316.14
25840,Safety and efficacy of an rAd26 and rAd5 vector-based heterologous prime-boost COVID-19 vaccine: an interim analysis of a randomised controlled phase 3 trial in Russia,Voronina,Daria V,ur.013466120623.80
25840,Safety and efficacy of an rAd26 and rAd5 vector-based heterologous prime-boost COVID-19 vaccine: an interim analysis of a randomised controlled phase 3 trial in Russia,Nikitenko,Natalia A,ur.01271474514.90
25840,Safety and efficacy of an rAd26 and rAd5 vector-based heterologous prime-boost COVID-19 vaccine: an interim analysis of a randomised controlled phase 3 trial in Russia,Borisevich,Sergei V,ur.012740611367.66
25840,Safety and efficacy of an rAd26 and rAd5 vector-based heterologous prime-boost COVID-19 vaccine: an interim analysis of a randomised controlled phase 3 trial in Russia,Botikov,Andrei G,ur.010317612767.36
25840,Safety and efficacy of an rAd26 and rAd5 vector-based heterologous prime-boost COVID-19 vaccine: an interim analysis of a randomised controlled phase 3 trial in Russia,Dzharullaeva,Alina S,ur.0717221603.78
25840,Safety and efficacy of an rAd26 and rAd5 vector-based heterologous prime-boost COVID-19 vaccine: an interim analysis of a randomised controlled phase 3 trial in Russia,Tokarskaya,Elizaveta A,ur.016677776513.42
25840,Safety and efficacy of an rAd26 and rAd5 vector-based heterologous prime-boost COVID-19 vaccine: an interim analysis of a randomised controlled phase 3 trial in Russia,Esmagambetov,Ilias B,ur.0613537044.27
25840,Safety and efficacy of an rAd26 and rAd5 vector-based heterologous prime-boost COVID-19 vaccine: an interim analysis of a randomised controlled phase 3 trial in Russia,Zrelkin,Denis I,ur.012556247567.54
25840,Safety and efficacy of an rAd26 and rAd5 vector-based heterologous prime-boost COVID-19 vaccine: an interim analysis of a randomised controlled phase 3 trial in Russia,Kovyrshina,Anna V,ur.010365412723.34
25840,Safety and efficacy of an rAd26 and rAd5 vector-based heterologous prime-boost COVID-19 vaccine: an interim analysis of a randomised controlled phase 3 trial in Russia,Zubkova,Olga V,ur.012317133513.16
25840,Safety and efficacy of an rAd26 and rAd5 vector-based heterologous prime-boost COVID-19 vaccine: an interim analysis of a randomised controlled phase 3 trial in Russia,Semikhin,Alexander S,ur.07636460767.47
25840,Safety and efficacy of an rAd26 and rAd5 vector-based heterologous prime-boost COVID-19 vaccine: an interim analysis of a randomised controlled phase 3 trial in Russia,Egorova,Daria A,ur.010200566413.95
25840,Safety and efficacy of an rAd26 and rAd5 vector-based heterologous prime-boost COVID-19 vaccine: an interim analysis of a randomised controlled phase 3 trial in Russia,Shmarov,Maksim M,ur.07704574167.11
25840,Safety and efficacy of an rAd26 and rAd5 vector-based heterologous prime-boost COVID-19 vaccine: an interim analysis of a randomised controlled phase 3 trial in Russia,Gintsburg,Alexander L,ur.01025401416.89
25840,Safety and efficacy of an rAd26 and rAd5 vector-based heterologous prime-boost COVID-19 vaccine: an interim analysis of a randomised controlled phase 3 trial in Russia,Gushchin,Vladimir A,ur.01206067372.73
25840,Safety and efficacy of an rAd26 and rAd5 vector-based heterologous prime-boost COVID-19 vaccine: an interim analysis of a randomised controlled phase 3 trial in Russia,Tukhvatulin,Amir I,ur.01166523007.34
25840,Safety and efficacy of an rAd26 and rAd5 vector-based heterologous prime-boost COVID-19 vaccine: an interim analysis of a randomised controlled phase 3 trial in Russia,Dolzhikova,Inna V,ur.0630076433.53
25840,Safety and efficacy of an rAd26 and rAd5 vector-based heterologous prime-boost COVID-19 vaccine: an interim analysis of a randomised controlled phase 3 trial in Russia,Lubenets,Nadezhda L,ur.014217323767.55
25840,Safety and efficacy of an rAd26 and rAd5 vector-based heterologous prime-boost COVID-19 vaccine: an interim analysis of a randomised controlled phase 3 trial in Russia,Shcheblyakov,Dmitry V,ur.01023565540.40
25840,Safety and efficacy of an rAd26 and rAd5 vector-based heterologous prime-boost COVID-19 vaccine: an interim analysis of a randomised controlled phase 3 trial in Russia,Izhaeva,Fatima M,ur.010061074133.30
24308,The Incidence of Myocarditis and Pericarditis in Post COVID-19 Unvaccinated Patients—A Large Population-Based Study,Tuvali,Ortal,ur.010675667001.53
24308,The Incidence of Myocarditis and Pericarditis in Post COVID-19 Unvaccinated Patients—A Large Population-Based Study,Afek,Arnon,ur.0751232476.92
24308,The Incidence of Myocarditis and Pericarditis in Post COVID-19 Unvaccinated Patients—A Large Population-Based Study,Derazne,Estela,ur.01047717742.44
24308,The Incidence of Myocarditis and Pericarditis in Post COVID-19 Unvaccinated Patients—A Large Population-Based Study,Haberman,Dan,ur.013563460634.58
24308,The Incidence of Myocarditis and Pericarditis in Post COVID-19 Unvaccinated Patients—A Large Population-Based Study,George,Jacob,ur.0642435445.82
24308,The Incidence of Myocarditis and Pericarditis in Post COVID-19 Unvaccinated Patients—A Large Population-Based Study,Sella,Gal,ur.016634141604.36
24308,The Incidence of Myocarditis and Pericarditis in Post COVID-19 Unvaccinated Patients—A Large Population-Based Study,Tshori,Sagi,ur.0702402153.79
24308,The Incidence of Myocarditis and Pericarditis in Post COVID-19 Unvaccinated Patients—A Large Population-Based Study,Hannuna,Rebecca Regina,
23972,COVID-19: stigmatising the unvaccinated is not justified,Kampf,Günter,ur.01335361256.43
23864,Aerosol and Surface Stability of SARS-CoV-2 as Compared with SARS-CoV-1,Bushmaker,Trenton,ur.01255664334.11
23864,Aerosol and Surface Stability of SARS-CoV-2 as Compared with SARS-CoV-1,de Wit,Emmie,ur.01357410457.53
23864,Aerosol and Surface Stability of SARS-CoV-2 as Compared with SARS-CoV-1,van Doremalen,Neeltje,ur.01364235606.88
23864,Aerosol and Surface Stability of SARS-CoV-2 as Compared with SARS-CoV-1,Munster,Vincent J,ur.01334105063.89
23864,Aerosol and Surface Stability of SARS-CoV-2 as Compared with SARS-CoV-1,Gerber,Susan I,ur.0577650272.59
23864,Aerosol and Surface Stability of SARS-CoV-2 as Compared with SARS-CoV-1,Holbrook,Myndi G,ur.010005564531.45
23864,Aerosol and Surface Stability of SARS-CoV-2 as Compared with SARS-CoV-1,Harcourt,Jennifer L,ur.01131526114.79
23864,Aerosol and Surface Stability of SARS-CoV-2 as Compared with SARS-CoV-1,Gamble,Amandine,ur.07456113165.27
23864,Aerosol and Surface Stability of SARS-CoV-2 as Compared with SARS-CoV-1,Thornburg,Natalie J,ur.0606700201.50
23864,Aerosol and Surface Stability of SARS-CoV-2 as Compared with SARS-CoV-1,Lloyd-Smith,James O,ur.0755477044.60
23864,Aerosol and Surface Stability of SARS-CoV-2 as Compared with SARS-CoV-1,Morris,Dylan H,ur.016527372177.19
23864,Aerosol and Surface Stability of SARS-CoV-2 as Compared with SARS-CoV-1,Tamin,Azaibi,ur.0730465355.70
23864,Aerosol and Surface Stability of SARS-CoV-2 as Compared with SARS-CoV-1,Williamson,Brandi N,ur.013210433407.71
23172,Increases in COVID-19 are unrelated to levels of vaccination across 68 countries and 2947 counties in the United States,Kumar,Akhil,ur.015554747430.84
23172,Increases in COVID-19 are unrelated to levels of vaccination across 68 countries and 2947 counties in the United States,Subramanian,S. V.,ur.012105053737.07
23097,"Physical distancing, face masks, and eye protection to prevent person-to-person transmission of SARS-CoV-2 and COVID-19: a systematic review and meta-analysis",Chen,Guang,
23097,"Physical distancing, face masks, and eye protection to prevent person-to-person transmission of SARS-CoV-2 and COVID-19: a systematic review and meta-analysis",El-harakeh,Amena,ur.011437632161.41
23097,"Physical distancing, face masks, and eye protection to prevent person-to-person transmission of SARS-CoV-2 and COVID-19: a systematic review and meta-analysis",Piggott,Thomas,ur.0717335233.16
23097,"Physical distancing, face masks, and eye protection to prevent person-to-person transmission of SARS-CoV-2 and COVID-19: a systematic review and meta-analysis",Schünemann,Holger J,ur.01126365241.80
23097,"Physical distancing, face masks, and eye protection to prevent person-to-person transmission of SARS-CoV-2 and COVID-19: a systematic review and meta-analysis",Chamseddine,Fatimah,ur.012430114525.36
23097,"Physical distancing, face masks, and eye protection to prevent person-to-person transmission of SARS-CoV-2 and COVID-19: a systematic review and meta-analysis",Lotfi,Tamara,ur.01012672102.94
23097,"Physical distancing, face masks, and eye protection to prevent person-to-person transmission of SARS-CoV-2 and COVID-19: a systematic review and meta-analysis",Chu,Derek K,ur.01243425011.37
23097,"Physical distancing, face masks, and eye protection to prevent person-to-person transmission of SARS-CoV-2 and COVID-19: a systematic review and meta-analysis",Zhao,Hong,
23097,"Physical distancing, face masks, and eye protection to prevent person-to-person transmission of SARS-CoV-2 and COVID-19: a systematic review and meta-analysis",Morgano,Gian Paolo,ur.016012651117.18
23097,"Physical distancing, face masks, and eye protection to prevent person-to-person transmission of SARS-CoV-2 and COVID-19: a systematic review and meta-analysis",Neumann,Ignacio,
23097,"Physical distancing, face masks, and eye protection to prevent person-to-person transmission of SARS-CoV-2 and COVID-19: a systematic review and meta-analysis",Yaacoub,Sally,
23097,"Physical distancing, face masks, and eye protection to prevent person-to-person transmission of SARS-CoV-2 and COVID-19: a systematic review and meta-analysis",authors,COVID-19 Systematic Urgent Review Group Effort study,
23097,"Physical distancing, face masks, and eye protection to prevent person-to-person transmission of SARS-CoV-2 and COVID-19: a systematic review and meta-analysis",Smith,Maureen,
23097,"Physical distancing, face masks, and eye protection to prevent person-to-person transmission of SARS-CoV-2 and COVID-19: a systematic review and meta-analysis",Khamis,Assem,ur.016202427703.42
23097,"Physical distancing, face masks, and eye protection to prevent person-to-person transmission of SARS-CoV-2 and COVID-19: a systematic review and meta-analysis",AbiHanna,Pierre,ur.012457735437.99
23097,"Physical distancing, face masks, and eye protection to prevent person-to-person transmission of SARS-CoV-2 and COVID-19: a systematic review and meta-analysis",Hajizadeh,Anisa,ur.015155604211.92
23097,"Physical distancing, face masks, and eye protection to prevent person-to-person transmission of SARS-CoV-2 and COVID-19: a systematic review and meta-analysis",Hneiny,Layal,ur.015217550115.32
23097,"Physical distancing, face masks, and eye protection to prevent person-to-person transmission of SARS-CoV-2 and COVID-19: a systematic review and meta-analysis",Stalteri,Rosa,
23097,"Physical distancing, face masks, and eye protection to prevent person-to-person transmission of SARS-CoV-2 and COVID-19: a systematic review and meta-analysis",Borowiack,Ewa,ur.01256111676.51
23097,"Physical distancing, face masks, and eye protection to prevent person-to-person transmission of SARS-CoV-2 and COVID-19: a systematic review and meta-analysis",Harris,David J,
23097,"Physical distancing, face masks, and eye protection to prevent person-to-person transmission of SARS-CoV-2 and COVID-19: a systematic review and meta-analysis",Zhang,Yuan,ur.01275145343.86
23097,"Physical distancing, face masks, and eye protection to prevent person-to-person transmission of SARS-CoV-2 and COVID-19: a systematic review and meta-analysis",Duda,Stephanie,ur.01015732361.56
23097,"Physical distancing, face masks, and eye protection to prevent person-to-person transmission of SARS-CoV-2 and COVID-19: a systematic review and meta-analysis",Harrison,Leila,
23097,"Physical distancing, face masks, and eye protection to prevent person-to-person transmission of SARS-CoV-2 and COVID-19: a systematic review and meta-analysis",Schünemann,Finn,ur.013677071611.00
23097,"Physical distancing, face masks, and eye protection to prevent person-to-person transmission of SARS-CoV-2 and COVID-19: a systematic review and meta-analysis",Izcovich,Ariel,ur.0623171704.35
23097,"Physical distancing, face masks, and eye protection to prevent person-to-person transmission of SARS-CoV-2 and COVID-19: a systematic review and meta-analysis",Bognanni,Antonio,ur.07510325725.65
23097,"Physical distancing, face masks, and eye protection to prevent person-to-person transmission of SARS-CoV-2 and COVID-19: a systematic review and meta-analysis",Rossi,Paolo Giorgi,ur.015617015653.79
23097,"Physical distancing, face masks, and eye protection to prevent person-to-person transmission of SARS-CoV-2 and COVID-19: a systematic review and meta-analysis",Yaacoub,Sally,ur.016145263725.25
23097,"Physical distancing, face masks, and eye protection to prevent person-to-person transmission of SARS-CoV-2 and COVID-19: a systematic review and meta-analysis",Solo,Karla,
23097,"Physical distancing, face masks, and eye protection to prevent person-to-person transmission of SARS-CoV-2 and COVID-19: a systematic review and meta-analysis",Bak,Anna,
23097,"Physical distancing, face masks, and eye protection to prevent person-to-person transmission of SARS-CoV-2 and COVID-19: a systematic review and meta-analysis",Akl,Elie A,ur.01267162113.26
23097,"Physical distancing, face masks, and eye protection to prevent person-to-person transmission of SARS-CoV-2 and COVID-19: a systematic review and meta-analysis",Chan,Jeffrey,ur.010547071116.08
23097,"Physical distancing, face masks, and eye protection to prevent person-to-person transmission of SARS-CoV-2 and COVID-19: a systematic review and meta-analysis",Reinap,Marge,ur.0641247327.27
23097,"Physical distancing, face masks, and eye protection to prevent person-to-person transmission of SARS-CoV-2 and COVID-19: a systematic review and meta-analysis",Akl,Elie A,
23097,"Physical distancing, face masks, and eye protection to prevent person-to-person transmission of SARS-CoV-2 and COVID-19: a systematic review and meta-analysis",Rizk,Nesrine,ur.01060630057.17
23097,"Physical distancing, face masks, and eye protection to prevent person-to-person transmission of SARS-CoV-2 and COVID-19: a systematic review and meta-analysis",Loeb,Mark,
23097,"Physical distancing, face masks, and eye protection to prevent person-to-person transmission of SARS-CoV-2 and COVID-19: a systematic review and meta-analysis",Saad,Zahra,
