year,h,h_c
2020,Heart Failure,392
2020,Immunologic Factors,392
2020,Air Pollution,390
2020,Dermatology,386
2020,Binding Sites,386
2020,Adrenal Cortex Hormones,386
2020,International Cooperation,383
2020,Longitudinal Studies,382
2020,Patient Acceptance of Health Care,382
2020,Symptom Assessment,380
2020,Olfaction Disorders,378
2020,Azithromycin,377
2020,Population Surveillance,376
2020,Immunocompromised Host,375
2020,Inpatients,375
2020,Pulmonary Embolism,373
2020,Ethnicity,371
2020,Specimen Handling,369
2020,Skin Diseases,369
2020,"History, 20th Century",369
2020,"History, 21st Century",368
2020,Medical Oncology,367
2020,Extracorporeal Membrane Oxygenation,367
2020,Emergency Medical Services,366
2020,Patient Discharge,366
2020,Lopinavir,363
2020,Racism,362
2020,Singapore,362
2020,State Medicine,360
2020,Ritonavir,359
2020,Virus Shedding,356
2020,Angiotensin Receptor Antagonists,355
2020,Equipment Design,355
2020,Amino Acid Sequence,355
2020,Family,353
2020,Asthma,352
2020,Health Resources,350
2020,Nervous System Diseases,350
2020,Drug Discovery,350
2020,Pediatrics,348
2020,Palliative Care,347
2020,Neutrophils,346
2020,Systemic Inflammatory Response Syndrome,346
2020,Glucocorticoids,345
2020,Health Care Rationing,344
2020,Antineoplastic Agents,343
2020,Postoperative Complications,340
2020,Schools,339
2020,Uncertainty,339
2020,"Outcome Assessment, Health Care",338
2020,"Education, Medical, Graduate",338
2020,Viral Nonstructural Proteins,336
2020,Renal Dialysis,336
2020,Swine,335
2020,Turkey,333
2020,Fatal Outcome,332
2020,Disinfection,332
2020,Feces,329
2020,Mobile Applications,328
2020,Research,328
2020,Poverty,328
2020,England,327
2020,Africa,327
2020,"Antibodies, Monoclonal",324
2020,Internationality,323
2020,Seasons,322
2020,Machine Learning,321
2020,Pharmaceutical Preparations,319
2020,Kidney Transplantation,319
2020,"Resilience, Psychological",318
2020,Drug Development,318
2020,Caregivers,318
2020,Organizational Innovation,318
2020,Gene Expression Regulation,315
2020,Protease Inhibitors,314
2020,Videoconferencing,310
2020,T-Lymphocytes,309
2020,Serine Endopeptidases,308
2020,Hypoxia,308
2020,HEK293 Cells,307
2020,Guidelines as Topic,306
2020,Surgeons,306
2020,COVID-19 Serological Testing,306
2020,Lung Neoplasms,305
2020,Particulate Matter,305
2020,Patient Admission,305
2020,Viruses,304
2020,Needs Assessment,304
2020,Oxygen,304
2020,Lymphocyte Count,302
2020,Breast Neoplasms,301
2020,Disaster Planning,301
2020,Feasibility Studies,300
2020,Communicable Diseases,299
2020,Heart Diseases,298
2020,"Surgical Procedures, Operative",297
2020,Seroepidemiologic Studies,297
2020,ROC Curve,297
2020,"Burnout, Professional",296
2020,Inflammatory Bowel Diseases,293
2020,Electrocardiography,293
2020,Cause of Death,292
2020,Health Promotion,292
2020,Immunotherapy,291
2020,Dyspnea,291
2020,Health Status,288
2020,Air Pollutants,288
2020,Drug Combinations,287
2020,Academic Medical Centers,287
2020,Rural Population,286
2020,"Stress Disorders, Post-Traumatic",285
2020,Psychological Distress,285
2020,Liver,285
2020,"Hospitals, University",284
2020,Vitamin D,283
2020,Evidence-Based Medicine,283
2020,Chiroptera,283
2020,"Mice, Inbred C57BL",282
2020,Ophthalmology,282
2020,"Ventilators, Mechanical",281
2020,Zoonoses,280
2020,Environmental Monitoring,279
2020,Protein Domains,278
2020,Parents,278
2020,Antimalarials,277
2020,Software,277
2020,Remote Consultation,276
2020,Taiwan,275
2020,Serologic Tests,275
2020,Protein Conformation,275
2020,Cardiology,273
2020,Biological Products,273
2020,Basic Reproduction Number,272
2020,Public Policy,272
2020,Occupational Diseases,271
2020,Enzyme-Linked Immunosorbent Assay,271
2020,Venous Thromboembolism,271
2020,Asymptomatic Diseases,271
2020,Electronic Health Records,269
2020,Coronavirus 3C Proteases,268
2020,"Kidney Failure, Chronic",266
2020,Oxygen Inhalation Therapy,266
2020,Congresses as Topic,266
2020,Emotions,265
2020,Outpatients,264
2020,"Pulmonary Disease, Chronic Obstructive",263
2020,Blood Glucose,262
2020,Clinical Protocols,262
2020,South Africa,261
2020,Molecular Diagnostic Techniques,260
2020,Echocardiography,260
2020,Age Distribution,260
2020,Resource Allocation,259
2020,Quality Improvement,258
2020,Tuberculosis,257
2020,Quality of Health Care,257
2020,Workplace,256
2020,Nurses,256
2020,Transplant Recipients,255
2020,Social Determinants of Health,255
2020,Point-of-Care Systems,254
2020,"Communicable Diseases, Emerging",254
2020,Diarrhea,254
2020,Dietary Supplements,253
2020,Self Report,252
2020,Operating Rooms,252
2020,Autopsy,250
2020,Antirheumatic Agents,250
2020,Research Personnel,249
2020,Smoking,247
2020,Otolaryngology,245
2020,Publishing,245
2020,Vaccines,245
2020,Liver Diseases,244
2020,Epidemiological Monitoring,242
2020,"Evolution, Molecular",242
2020,"Cells, Cultured",242
2020,Psychiatry,242
2020,"Drugs, Chinese Herbal",240
2020,Skin,239
2020,Rheumatic Diseases,239
2020,Bacteria,238
2020,Kidney,238
2020,Odds Ratio,238
2020,Learning,237
2020,Drug Design,236
2020,Climate Change,236
2020,Professional Role,235
2020,Blood Coagulation,235
2020,Hand Disinfection,233
2020,Biosensing Techniques,233
2020,Immune System,233
2020,Gastrointestinal Diseases,232
2020,Genomics,232
2020,Patient Care,231
2020,Hong Kong,230
2020,Sepsis,230
2020,Occupational Stress,229
2020,Rats,229
2020,Laboratories,229
2020,Body Mass Index,229
2020,Host Microbial Interactions,228
2020,Phenotype,227
2020,Recurrence,227
2020,Trust,226
2020,Physician-Patient Relations,225
2020,CD8-Positive T-Lymphocytes,224
2020,Combined Modality Therapy,224
2020,Health Workforce,224
2020,Motivation,223
2020,New York,223
2020,Saudi Arabia,223
2020,Immunoassay,223
2020,Loneliness,221
2020,Macrophages,220
2020,Myocarditis,220
2020,Blood Coagulation Disorders,220
2020,Pakistan,219
2020,"Education, Medical, Undergraduate",218
2020,Health Education,217
2020,Pregnancy Outcome,217
2020,Genetic Predisposition to Disease,217
2020,Workflow,217
2020,Temperature,217
2020,Ambulatory Care Facilities,216
2020,Health Surveys,216
2020,Patient Satisfaction,216
2020,"Antigens, Viral",215
2020,"Medicine, Chinese Traditional",215
2020,Long-Term Care,213
2020,Attitude to Health,213
2020,Pharmacists,212
2020,Civil Defense,211
2020,Gastrointestinal Microbiome,211
2020,Cost-Benefit Analysis,210
2020,Tracheostomy,210
2020,Gene Expression,210
2020,Saliva,208
2020,Nanoparticles,208
2020,Cooperative Behavior,208
2020,Life Style,208
2020,Respiratory Protective Devices,208
2020,Food Supply,207
2020,Adaptive Immunity,207
2020,Public Health Surveillance,207
2020,Diabetes Complications,207
2020,Diet,206
2020,Nucleic Acid Amplification Techniques,206
2020,Substance-Related Disorders,206
2020,Leukocyte Count,206
2020,Drug Delivery Systems,205
2020,United States Food and Drug Administration,205
2020,"Dose-Response Relationship, Drug",204
2020,Workforce,204
2020,Residence Characteristics,204
2020,"Influenza A Virus, H1N1 Subtype",204
2020,"Immunoglobulins, Intravenous",203
2020,Lymphopenia,203
2020,"RNA, Messenger",202
2020,Anxiety Disorders,202
2020,"Cell Line, Tumor",202
2020,Social Justice,201
2020,Commerce,201
2020,Influenza Vaccines,201
2020,Double-Blind Method,201
2020,Hand Hygiene,201
2020,Health Equity,201
2020,Mexico,201
2020,Hispanic or Latino,201
2020,Smartphone,200
2020,Dogs,199
2020,Cost of Illness,199
2020,Netherlands,199
2020,Immunity,199
2020,"Renal Insufficiency, Chronic",198
2020,Coronavirus Nucleocapsid Proteins,198
2020,Proportional Hazards Models,198
2020,Structure-Activity Relationship,197
2020,"Nursing Staff, Hospital",196
2020,Lymphocytes,196
2020,CD4-Positive T-Lymphocytes,195
2020,Interferons,195
2020,Genetic Variation,195
2020,Bayes Theorem,195
2020,Minority Groups,194
2020,Telephone,194
2020,Workload,194
2020,Israel,193
2020,"Drug Evaluation, Preclinical",193
2020,Point-of-Care Testing,193
2020,Income,193
2020,Urology,192
2020,Deep Learning,192
2020,Sleep,192
2020,Multiple Sclerosis,191
2020,Early Diagnosis,191
2020,Oxidative Stress,190
2020,Lung Diseases,190
2020,New Zealand,190
2020,General Surgery,190
2020,Biopsy,190
2020,Personnel Staffing and Scheduling,189
2020,High-Throughput Nucleotide Sequencing,189
2020,B-Lymphocytes,188
2020,Pregnant Women,188
2020,"Arrhythmias, Cardiac",188
2020,Patient Care Management,187
2020,Home Care Services,187
2020,Radiology,187
2020,Health Care Surveys,186
2020,ST Elevation Myocardial Infarction,186
2020,Hypoglycemic Agents,186
2020,Antioxidants,185
2020,Thrombophilia,185
2020,Plastic Surgery Procedures,184
2020,Endoscopy,183
2020,Genotype,183
2020,Colorectal Neoplasms,183
2020,Guideline Adherence,183
2020,Liver Transplantation,183
2020,Health Communication,182
2020,"Monitoring, Physiologic",182
2020,Family Characteristics,182
2020,Government,182
2020,Bacterial Infections,181
2020,Perception,181
2020,Molecular Targeted Therapy,181
2020,Cardiopulmonary Resuscitation,181
2020,Employment,180
2020,Geriatrics,180
2020,Orthopedics,180
2020,Suicide,179
2020,Anti-Infective Agents,179
2020,"Diabetes Mellitus, Type 1",178
2020,"Mice, Inbred BALB C",177
2020,Patient Education as Topic,177
2020,Venous Thrombosis,177
2020,Epithelial Cells,177
2020,Phosphoproteins,176
2020,Poland,176
2020,Neurology,176
2020,Policy,176
2020,Vitamin D Deficiency,176
2020,Safety,175
2020,Nigeria,175
2020,Gene Expression Profiling,175
2020,"Hemorrhagic Fever, Ebola",174
2020,Myocardial Infarction,174
2020,Influenza A virus,174
2020,Early Detection of Cancer,174
2020,Skin Neoplasms,173
2020,Neurosurgical Procedures,173
2020,Neurosurgery,173
2020,Respiratory System,172
2020,Mucocutaneous Lymph Node Syndrome,172
2020,Nutritional Status,171
2020,Dementia,171
2020,Policy Making,170
2020,Data Collection,170
2020,Opioid-Related Disorders,170
2020,Blood Donors,170
2020,Physician's Role,170
2020,Teaching,169
2020,Molecular Structure,169
2020,Airway Management,169
2020,Radiography,169
2020,Public Opinion,169
2020,Systematic Reviews as Topic,168
2020,Prone Position,168
2020,Peptides,167
2020,Inflammation Mediators,167
2020,Cesarean Section,167
2020,Safety Management,167
2020,"Personnel, Hospital",167
2020,Survivors,166
2020,Racial Groups,165
2020,Interpersonal Relations,165
2020,Drug Approval,165
2020,Drug Industry,165
2020,Cattle,164
2020,Endothelial Cells,164
2020,Attitude,164
2020,Headache,164
2020,"Analgesics, Opioid",164
2020,False Negative Reactions,164
2020,Orthopedic Procedures,163
2020,Percutaneous Coronary Intervention,163
2020,Laparoscopy,163
2020,Virulence,162
2020,Apoptosis,162
2020,Multivariate Analysis,162
2020,Psoriasis,162
2020,Wounds and Injuries,161
2020,Ligands,161
2020,Health Facilities,161
2020,Gastroenterology,161
2020,Limit of Detection,161
2020,Sex Distribution,161
2020,Asian People,161
2020,Meta-Analysis as Topic,161
2020,Recombinant Proteins,161
2020,"Surgery, Plastic",161
2020,Heparin,160
2020,Continuity of Patient Care,160
2020,Fatigue,160
2020,Asia,160
2020,Interdisciplinary Communication,160
2020,Ecosystem,160
2020,"Immunity, Humoral",160
2020,Tumor Necrosis Factor-alpha,160
2020,Cardiac Surgical Procedures,160
2020,Transcriptome,159
2020,Mothers,159
2020,Program Evaluation,159
2020,Interprofessional Relations,159
2020,"Immunity, Cellular",159
2020,Interviews as Topic,158
2020,London,158
2020,Breast Feeding,157
2020,Urban Population,157
2020,"Centers for Disease Control and Prevention, U.S.",157
2020,Mesenchymal Stem Cells,156
2020,"Endoscopy, Gastrointestinal",156
2020,BCG Vaccine,156
2020,Plant Extracts,156
2020,Smell,156
2020,Nucleocapsid Proteins,155
2020,Self Care,155
2020,Precision Medicine,155
2020,"Diagnostic Tests, Routine",155
2020,Anesthesiology,155
2020,Cross Reactions,153
2020,Sleep Initiation and Maintenance Disorders,153
2020,Immunomodulation,153
2020,Sequence Alignment,153
2020,Sedentary Behavior,153
2020,Head and Neck Neoplasms,153
2020,Patients,153
2020,Enzyme Inhibitors,153
2020,Social Stigma,153
2020,Dental Care,152
2020,Switzerland,152
2020,Proteomics,152
2020,Conservation of Natural Resources,152
2020,Myocardium,151
2020,Drug Interactions,151
2020,Epitopes,150
2020,Immunosuppression Therapy,150
2020,Terminal Care,150
2020,"Students, Nursing",149
2020,Equipment Contamination,149
2020,Ireland,149
2020,Kinetics,148
2020,Swine Diseases,148
2020,Autoimmune Diseases,148
2020,"Anti-Inflammatory Agents, Non-Steroidal",148
2020,Fellowships and Scholarships,148
2020,"Endothelium, Vascular",147
2020,Mass Media,147
2020,Science,147
2020,Brain Ischemia,147
2020,Social Behavior,147
2020,Homes for the Aged,146
2020,Heart,146
2020,Patient-Centered Care,146
2020,Anesthesia,146
2020,"Hospitals, Pediatric",146
2020,White People,146
2020,Amides,146
2020,Environmental Exposure,145
2020,"Neural Networks, Computer",145
2020,Alcohol Drinking,145
2020,Community-Acquired Infections,144
2020,Disasters,144
2020,Government Regulation,144
2020,Hospital Bed Capacity,144
2020,Computed Tomography Angiography,143
2020,"Reagent Kits, Diagnostic",143
2020,Organ Transplantation,143
2020,Delayed Diagnosis,143
2020,Sweden,143
2020,Feeding Behavior,143
2020,Risk Management,143
2020,Cluster Analysis,143
2020,Air Microbiology,142
2020,Noninvasive Ventilation,142
2020,Monocytes,142
2020,Microbial Sensitivity Tests,142
2020,Cysteine Endopeptidases,142
2020,Disabled Persons,142
2020,Dexamethasone,142
2020,Human Rights,142
2020,Methylprednisolone,142
2020,Viral Envelope Proteins,142
2020,Latin America,142
2020,Technology,142
2020,Prostatic Neoplasms,141
2020,"Medical Staff, Hospital",141
2020,Drug Administration Schedule,141
2020,Particle Size,141
2020,Tissue Donors,141
2020,Observational Studies as Topic,140
2020,Infections,140
2020,Medicare,140
2020,Hygiene,139
2020,Nurse's Role,139
2020,Pyrazines,139
2020,Kidney Diseases,139
2020,Guillain-Barre Syndrome,139
2020,Transients and Migrants,139
2020,Educational Measurement,139
2020,Perioperative Care,139
2020,Cats,139
2020,"Infectious Disease Transmission, Professional-to-Patient",138
2020,Blood Platelets,138
2020,Thrombolytic Therapy,138
2020,Critical Pathways,137
2020,Multicenter Studies as Topic,137
2020,Patient Positioning,137
2020,RNA-Dependent RNA Polymerase,137
2020,Child Health,137
2020,"Administration, Oral",137
2020,California,137
2020,Multiple Organ Failure,137
2020,Pyrazoles,136
2020,"Translational Research, Biomedical",136
2020,Hematopoietic Stem Cell Transplantation,135
2020,Health Literacy,135
2020,Environment,135
2020,Cognition,135
2020,Premature Birth,135
2020,"Schools, Medical",135
2020,Educational Status,135
2020,Antihypertensive Agents,135
2020,Interferon Type I,134
2020,"Administration, Inhalation",134
2020,Immunoglobulin A,134
2020,Public Health Administration,134
2020,Wastewater,133
2020,Dentistry,133
2020,Recovery of Function,133
2020,Thorax,133
2020,Obstetrics,133
2020,L-Lactate Dehydrogenase,133
2020,Taste Disorders,133
2020,Prenatal Care,133
2020,HIV-1,132
2020,Neutralization Tests,132
2020,Eye Diseases,132
2020,Thromboembolism,132
2020,Vitamins,132
2020,"Delivery, Obstetric",132
2020,"Epitopes, T-Lymphocyte",131
2020,Dengue,131
2020,Fibrinolytic Agents,131
2020,Microbiota,131
2020,"Lupus Erythematosus, Systemic",131
2020,Nepal,130
2020,"Polymorphism, Single Nucleotide",130
2020,Brain Diseases,130
2020,Plasma,130
2020,"Arthritis, Rheumatoid",130
2020,"Outcome and Process Assessment, Health Care",130
2020,Base Sequence,130
2020,Disinfectants,130
2020,Ventilation,130
2020,Whole Genome Sequencing,130
2020,Parkinson Disease,130
2020,CRISPR-Cas Systems,130
2020,Preoperative Care,130
2020,Immunization Programs,129
2020,Proteins,129
2020,Belgium,129
2020,Catalytic Domain,129
2020,Bangladesh,129
2020,MicroRNAs,128
2020,Acute Coronary Syndrome,128
2020,Health Priorities,128
2020,Regression Analysis,128
2020,RNA,128
2020,User-Computer Interface,128
2020,"Delivery of Health Care, Integrated",127
2020,Frailty,125
2020,Membrane Proteins,125
2020,Protein Interaction Domains and Motifs,125
2020,"DNA, Viral",125
2020,Housing,125
2020,Morals,125
2020,Appointments and Schedules,125
2020,Simulation Training,125
2020,Ferritins,124
2020,"Immunogenicity, Vaccine",124
2020,Aftercare,124
2020,Ontario,124
2020,Ultraviolet Rays,124
2020,Africa South of the Sahara,124
2020,Malaria,124
2020,DNA,124
2020,Advisory Committees,124
2020,Health Expenditures,124
2020,"Surgery Department, Hospital",123
2020,Immunologic Memory,123
2020,Public Health Practice,123
2020,Medicine,122
2020,Personal Satisfaction,122
2020,Zika Virus Infection,122
2020,Empathy,121
2020,Blood Transfusion,121
2020,Pain Management,121
2020,Virtual Reality,121
2020,Cell Differentiation,121
2020,Emergency Medicine,120
2020,Tissue and Organ Procurement,120
2020,Washington,120
2020,Career Choice,120
2020,Health Care Costs,120
2020,Kaplan-Meier Estimate,120
2020,Morbidity,120
2020,Ill-Housed Persons,120
2020,Emigrants and Immigrants,120
2020,Surge Capacity,119
2020,Dentists,119
2020,Zika Virus,119
2020,Alzheimer Disease,119
2020,Peptide Fragments,119
2020,Pharynx,118
2020,Neoplasm Staging,118
2020,"Killer Cells, Natural",118
2020,"Adjuvants, Immunologic",118
2020,Linear Models,118
2020,Sputum,118
2020,Mesenchymal Stem Cell Transplantation,118
2020,Chickens,118
2020,Psychometrics,118
2020,Portugal,117
2020,Sleep Wake Disorders,117
2020,Chilblains,117
2020,Epilepsy,117
2020,Convalescence,117
2020,Exanthema,117
2020,Editorial Policies,117
2020,Black People,116
2020,Psychotherapy,116
2020,Geriatric Assessment,116
2020,"Animals, Wild",116
2020,"Ethics, Medical",116
2020,Autophagy,115
2020,Greece,115
2020,Coronary Angiography,115
2020,"Crystallography, X-Ray",115
2020,Disease Reservoirs,115
2020,Virion,115
2020,Health Planning,115
2020,Informed Consent,115
2020,Patient Compliance,114
2020,Respiratory Mucosa,114
2020,Hemorrhage,114
2020,Protein Kinase Inhibitors,114
2020,Peptide Hydrolases,114
2020,Geography,114
2020,Disseminated Intravascular Coagulation,114
2020,"Hospitals, Teaching",113
2020,Decontamination,113
2020,Denmark,113
2020,"Mice, Knockout",112
2020,Lymphocyte Activation,112
2020,Atrial Fibrillation,112
2020,Sexual Behavior,112
2020,Texas,112
2020,Thrombectomy,112
2020,Federal Government,112
2020,Bibliometrics,111
2020,"Immunity, Herd",111
2020,Antibody Formation,111
2020,Up-Regulation,111
2020,Area Under Curve,111
2020,Proteome,110
2020,Pregnancy Complications,110
2020,Single-Cell Analysis,110
2020,Pyrimidines,109
2020,Thrombocytopenia,109
2020,Procalcitonin,109
2020,Pain,109
2020,Rheumatology,109
2020,Violence,109
2020,Thermodynamics,109
2020,Cell Proliferation,109
2020,N95 Respirators,109
2020,Hot Temperature,108
2020,Liver Neoplasms,108
2020,"History, 19th Century",108
2020,Bronchoalveolar Lavage Fluid,108
2020,Community Health Services,108
2020,Unemployment,108
2020,Carrier State,107
2020,Activities of Daily Living,107
2020,Equipment Reuse,107
2020,Malnutrition,107
2020,"Heparin, Low-Molecular-Weight",107
2020,Lung Injury,106
2020,Refugees,106
2020,Long QT Syndrome,106
2020,Datasets as Topic,106
2020,Oropharynx,106
2020,Diagnostic Imaging,106
2020,Sustainable Development,105
2020,Platelet Count,105
2020,Cognitive Dysfunction,105
2020,Health Services Research,105
2020,Computer-Assisted Instruction,105
2020,"Sequence Analysis, RNA",105
2020,Hospital Units,105
2020,Anti-HIV Agents,105
2020,Demography,105
2020,Humidity,105
2020,Frail Elderly,105
2020,Cryoelectron Microscopy,104
2020,Bias,104
2020,"Drug Resistance, Bacterial",104
2020,Immunization,104
2020,Program Development,104
2020,Waiting Lists,104
2020,Graft Rejection,104
2020,Gastrointestinal Tract,103
2020,Sulfonamides,103
2020,Insulin,103
2020,Chile,103
2020,Social Work,103
2020,"Lung Diseases, Interstitial",103
2020,Radiation Oncology,103
2020,Viral Tropism,102
2020,Syndrome,102
2020,Intention,102
2020,North America,102
2020,Colombia,102
2020,Escherichia coli,102
2020,Drug Monitoring,102
2020,"Epitopes, B-Lymphocyte",102
2020,Sexual and Gender Minorities,101
2020,Physical Therapy Modalities,101
2020,Placenta,101
